Trip #no.,Location - Greece,Duration,Cost of Travel(Entire Trip),Mode of Travel,Stay,First Name,Last Name,Date of Birth,Address,Age,Sex,Nationality,Date of Travel
179,Cape Sounion,21,7701,Flight,Other,David,Russell,1943-12-27,"77592 Hart Station
North Brenttown, KS 56865",50,Transgender,Ecuador,2021-07-03
246,Lindos,30,18801,Train,Other,Daniel,Brown,1946-03-02,"USS Mathews
FPO AE 44350",55,Female,Barbados,2021-05-26
34,Mycenae,18,19265,Roadtrip,Airbnb,Michael,Smith,1943-10-15,"2253 Deborah Union
New Garyville, NM 64706",65,Non-Binary,Central African Republic,2020-01-12
272,Monemvasia,15,19105,Car,Hotel,Noah,Sanchez,1979-05-24,"53784 Hardin Squares
Mendezport, MT 98371",52,Male,Mongolia,2022-07-21
183,Cape Sounion,29,6374,Cruise,Resorts,Misty,Davis,2018-06-21,"08425 Shawn Corners Suite 980
Contrerasfort, MS 26116",44,Female,France,2023-03-19
215,Peloponnese Peninsula,24,10535,Cruise,Resorts,Julian,Weeks,1951-12-15,"4513 Andrea Turnpike
New Jade, MO 54457",34,Transgender,North Macedonia,2022-02-08
80,Peloponnese Peninsula,5,9586,Roadtrip,Hotel,Leah,Thompson,1956-11-22,"2561 Baker Shoals Suite 602
New Courtneyville, RI 01141",34,Female,Lithuania,2021-07-09
114,Kalamata,10,25913,Car,Other,John,Hatfield,1922-02-07,"1505 Sharon Stream Suite 153
Mirandahaven, CT 42081",72,Female,Croatia,2020-05-22
281,Athens,21,9612,Car,Resorts,Joseph,Miller,1917-11-09,"Unit 5962 Box 7342
DPO AA 27807",74,Transgender,Poland,2022-05-14
262,Rhodes,13,22983,Train,Airbnb,Gregory,Lewis,1978-06-09,"8961 Susan Ford
Moonside, KS 78606",75,Transgender,Maldives,2020-04-13
77,Monemvasia,23,26131,Train,Airbnb,Angela,Carroll,1988-10-23,"82477 Brent Rue Suite 315
Port Patriciamouth, MS 63603",32,Male,Haiti,2022-03-11
222,Cape Sounion,1,27783,Bus,Hotel,Jody,Lane,1959-06-30,"USNV Evans
FPO AE 40376",73,Male,Brazil,2020-04-03
129,Cyclades Islands,19,25758,Roadtrip,Resorts,Sean,Lutz,1973-11-04,"052 Joshua Club Suite 521
Bennettside, LA 90347",36,Female,Mayotte,2022-06-03
279,Monemvasia,6,16169,Cruise,Resorts,Regina,Cruz,1955-12-09,"8573 Ariel Overpass Apt. 441
North Kristiefurt, PR 63629",19,Female,Burkina Faso,2020-12-12
193,Epidaurus,29,18733,Car,Other,Christopher,Robinson,1954-03-17,"102 Shepard Avenue
Stevenhaven, ND 09691",63,Transgender,Guinea-Bissau,2023-06-18
282,Nafplio,17,15969,Bus,Resorts,Keith,Obrien,1971-10-18,"1459 Taylor Island
Deanhaven, FL 13439",30,Non-Binary,Philippines,2021-09-15
97,Meteora,27,26361,Bus,Hotel,Crystal,Lawrence,1946-09-21,"77562 Moses Lights
West David, TN 26867",41,Male,Venezuela,2020-07-23
58,Hydra,15,27148,Bus,Resorts,Kimberly,House,1919-06-21,"208 Byrd Groves Apt. 734
Loveshire, PA 97044",45,Transgender,Netherlands,2023-05-07
